round,id_dt_ib,iso,name_dt_round,names
cen1961,0494,MH,satara,satara
cen1961,0498,MH,wardha,wardha
cen1961,99900145,MH,ahmadnagar,"ahmednagar,ahmadnagar"
cen1961,99900151,MH,bhir,bhir
cen1961,99900158,MH,dhulia,dhulia
cen1961,99900161,MH,greaterbombay,greaterbombay
cen1961,99900164,MH,kolaba,kolaba
cen1961,99900166,MH,nasik,nasik
cen1961,99900168,MH,poona,poona
cen1961,99900173,MH,sholapur,sholapur
cen1961,99900175,MH,thana,thana
cen1961,99900177,MH,yeotmal,"yeotmal,yeotma"
cen1961,99900182,MN,manipur,manipur
cen1961,0392,MP,balaghat,balaghat
cen1961,0394,MP,betul,betul
cen1961,0395,MP,bhind,"bhind,bind"
cen1961,0398,MP,chhatarpur,chhatarpur
cen1961,0399,MP,chhindwara,chhindwara
cen1961,0400,MP,damoh,damoh
cen1961,0401,MP,datia,datia
cen1961,0402,MP,dewas,dewas
cen1961,0403,MP,dhar,dhar
cen1961,0405,MP,eastnimar,"eastnimar,khandwaeastnimar"
cen1961,0406,MP,guna,guna
cen1961,0407,MP,gwalior,gwalior
cen1961,0410,MP,indore,indore
cen1961,0411,MP,jabalpur,jabalpur
cen1961,0412,MP,jhabua,jhabua
cen1961,0415,MP,mandla,mandla
cen1961,0416,MP,mandsaur,mandsaur
cen1961,0417,MP,morena,morena
cen1961,0420,MP,panna,panna
cen1961,0421,MP,raisen,raisen
cen1961,0422,MP,rajgarh,rajgarh
cen1961,0423,MP,ratlam,ratlam
cen1961,0424,MP,rewa,rewa
cen1961,0425,MP,sagar,sagar
cen1961,0426,MP,satna,satna
cen1961,0427,MP,sehore,sehore
cen1961,0428,MP,seoni,seoni
cen1961,0429,MP,shahdol,"shahdol,shahdool"
cen1961,0430,MP,shajapur,shajapur
cen1961,0432,MP,shivpuri,shivpuri
cen1961,0433,MP,sidhi,sidhi
cen1961,0434,MP,tikamgarh,tikamgarh
cen1961,0435,MP,ujjain,ujjain
cen1961,99900190,MP,bastar,bastar
cen1961,99900193,MP,bilaspur,bilaspur
cen1961,99900196,MP,durg,durg
cen1961,99900199,MP,hoshangabad,hoshangabad
cen1961,99900202,MP,narsimhapur,narsimhapur
cen1961,99900204,MP,raigarh,raigarh
cen1961,99900205,MP,raipur,raipur
cen1961,99900207,MP,surguja,surguja
cen1961,99900208,MP,vidishabhilsa,"vidishabhilsa,vidisha"
cen1961,99900210,MP,westnimar,"westnimar,khargonewestnimar"
cen1961,0245,NL,kohima,kohima
cen1961,0246,NL,mokokchung,mokokchung
cen1961,0249,NL,tuensang,tuensang
cen1961,0350,OR,cuttack,cuttack
cen1961,0352,OR,dhenkanal,dhenkanal
cen1961,0354,OR,ganjam,ganjam
cen1961,0358,OR,kalahandi,kalahandi
cen1961,0363,OR,koraput,koraput
cen1961,0365,OR,mayurbhanj,mayurbhanj
cen1961,0369,OR,puri,"puri,purl"
cen1961,0371,OR,sambalpur,sambalpur
cen1961,0373,OR,sundargarh,sundargarh
cen1961,99900216,OR,balasore,balasore
cen1961,99900218,OR,baudhkhondmals,baudhkhondmals
cen1961,99900219,OR,bolangir,bolangir
cen1961,99900221,OR,keonjhar,keonjhar
cen1961,0027,PB,amritsar,amritsar
cen1961,0031,PB,ferozepur,ferozepur
cen1961,0032,PB,gurdaspur,gurdaspur
cen1961,0033,PB,hoshiarpur,hoshiarpur
cen1961,0035,PB,kapurthala,kapurthala
cen1961,0036,PB,ludhiana,ludhiana
cen1961,0041,PB,patiala,patiala
cen1961,0043,PB,sangrur,sangrur
cen1961,99900226,PB,ambala,ambala
cen1961,99900227,PB,bhatinda,bhatinda
