id_dt_ib,name_dt_ib,iso,from_year,to_year,is_current
0531,chamarajanagara,KA,2011,9999,1
0532,chikkamagaluru,KA,2011,9999,1
0533,chitradurga,KA,1961,9999,1
0534,dakshinakannada,KA,2001,9999,1
0535,davangere,KA,2011,9999,1
0536,dharwad,KA,1991,9999,1
0537,gadag,KA,2001,9999,1
0538,kalaburagi,KA,2011,9999,1
0539,hassan,KA,1951,9999,1
0540,haveri,KA,2001,9999,1
0541,kodagu,KA,1981,9999,1
0542,kolar,KA,1951,9999,1
0543,koppal,KA,2001,9999,1
0544,mandya,KA,1951,9999,1
0545,mysuru,KA,2011,9999,1
0546,raichur,KA,1961,9999,1
0547,shivamogga,KA,2011,9999,1
0548,tumakuru,KA,2011,9999,1
0549,udupi,KA,2001,9999,1
0550,uttarakannada,KA,2001,9999,1
0551,northgoa,GA,1991,9999,1
0552,southgoa,GA,1991,9999,1
0553,lakshadweepdistrict,LD,2011,9999,1
0554,alappuzha,KL,2001,9999,1
0555,ernakulam,KL,1961,9999,1
0556,idukki,KL,1981,9999,1
0557,kannur,KL,1991,9999,1
0558,kasaragod,KL,1991,9999,1
0559,kollam,KL,1991,9999,1
0560,kottayam,KL,1951,9999,1
0561,kozhikode,KL,1961,9999,1
0562,malappuram,KL,1971,9999,1
0563,palakkad,KL,2001,9999,1
0564,pathanamthitta,KL,2001,9999,1
0565,thiruvananthapuram,KL,1991,9999,1
0566,thrissur,KL,2001,9999,1
0567,wayanad,KL,1981,9999,1
0568,chennai,TN,2001,9999,1
0569,coimbatore,TN,1951,9999,1
0570,cuddalore,TN,2001,9999,1
0571,dharmapuri,TN,1971,9999,1
0572,dindigul,TN,2001,9999,1
0573,erode,TN,2001,9999,1
0574,kanchipuram,TN,2011,9999,1
0575,kanniyakumari,TN,2001,9999,1
0576,karur,TN,2001,9999,1
0577,krishnagiri,TN,2001,9999,1
0578,madurai,TN,1951,9999,1
0579,nagapattinam,TN,2001,9999,1
0580,namakkal,TN,2001,9999,1
0581,perambalur,TN,2001,9999,1
0582,pudukkottai,TN,1981,9999,1
0583,ramanathapuram,TN,1951,9999,1
0584,salem,TN,1951,9999,1
0585,sivaganga,TN,2001,9999,1
0586,thanjavur,TN,1961,9999,1
0587,thenilgiris,TN,2001,9999,1
0588,theni,TN,2001,9999,1
0589,thiruvallur,TN,2001,9999,1
0590,thiruvarur,TN,2001,9999,1
0591,tiruchirappalli,TN,2011,9999,1
0592,tirunelveli,TN,1951,9999,1
0593,tiruvannamalai,TN,2001,9999,1
0594,tuticorin,TN,2011,9999,1
0595,vellore,TN,2001,9999,1
0596,villupuram,TN,2011,9999,1
0597,virudhunagar,TN,2001,9999,1
0598,karaikal,PY,1951,9999,1
0599,mahe,PY,1951,9999,1
0600,pondicherry,PY,1951,9999,1
0601,yanam,PY,1951,9999,1
0602,southandamans,AN,2011,9999,1
